userid,register_time,country,,,,
10650,25/02/2017,ID,,,,
10658,2/01/2017,TW,,,,
10666,3/02/2017,MY,,,,
10672,7/01/2017,PH,,,,
10681,26/04/2017,VN,,,,
10690,13/05/2017,MY,,,,
10692,29/03/2017,PH,,,,
10694,25/05/2017,VN,,,,
10703,30/01/2017,SG,,,,
10709,6/02/2017,PH,,,,
10715,23/02/2017,PH,,,,
10718,29/03/2017,TW,,,,
10719,11/04/2017,TH,,,,
10726,16/01/2017,SG,,,,
10733,31/03/2017,ID,,,,
10737,17/04/2017,ID,,,,
10738,12/02/2017,ID,,,,
10746,27/04/2017,ID,,,,
10750,7/04/2017,ID,,,,
10754,8/02/2017,SG,,,,
10760,10/01/2017,MY,,,,
10764,23/03/2017,SG,,,,
10773,4/02/2017,TW,,,,
10775,23/03/2017,VN,,,,
10784,3/02/2017,MY,,,,
10790,11/04/2017,TH,,,,
10794,7/05/2017,PH,,,,
10795,1/01/2017,MY,,,,
10797,4/03/2017,ID,,,,
10799,11/01/2017,TW,,,,
10809,29/04/2017,TW,,,,
10812,6/02/2017,PH,,,,
10815,27/03/2017,PH,,,,
10825,2/01/2017,MY,,,,
10833,15/05/2017,TH,,,,
10841,24/02/2017,PH,,,,
10851,28/03/2017,SG,,,,
10858,6/03/2017,VN,,,,
10865,11/03/2017,SG,,,,
10869,28/02/2017,PH,,,,
10874,17/05/2017,ID,,,,
10880,19/03/2017,ID,,,,
10886,16/03/2017,VN,,,,
10896,27/04/2017,ID,,,,
10897,7/01/2017,ID,,,,
10898,22/05/2017,TH,,,,
10903,13/04/2017,TH,,,,
10905,19/02/2017,ID,,,,
10911,3/01/2017,TH,,,,
10913,8/04/2017,VN,,,,
10914,21/04/2017,ID,,,,
10921,23/04/2017,PH,,,,
10930,29/04/2017,PH,,,,
10938,7/02/2017,PH,,,,
10948,21/01/2017,TH,,,,
10957,23/03/2017,PH,,,,
10958,14/04/2017,PH,,,,
10962,20/04/2017,PH,,,,
10963,14/05/2017,TH,,,,
10969,2/02/2017,ID,,,,
10971,9/01/2017,PH,,,,
10981,27/01/2017,VN,,,,
10987,8/03/2017,TH,,,,
10992,17/04/2017,VN,,,,
10996,10/05/2017,TH,,,,
11002,7/03/2017,TH,,,,
11006,27/05/2017,TH,,,,
11012,5/02/2017,TW,,,,
11020,4/03/2017,PH,,,,
11024,21/01/2017,ID,,,,
11028,22/01/2017,MY,,,,
11029,18/03/2017,MY,,,,
11032,30/04/2017,VN,,,,
11042,21/03/2017,ID,,,,
11050,22/05/2017,MY,,,,
11056,10/01/2017,VN,,,,
11058,23/01/2017,MY,,,,
11062,25/04/2017,VN,,,,
11070,19/02/2017,SG,,,,
11073,15/01/2017,ID,,,,
11082,17/02/2017,PH,,,,
11092,21/03/2017,SG,,,,
11102,1/01/2017,VN,,,,
11109,24/03/2017,SG,,,,
11112,20/03/2017,MY,,,,
11119,17/01/2017,VN,,,,
11124,9/04/2017,TW,,,,
11130,23/02/2017,TH,,,,
11137,6/04/2017,VN,,,,
11146,30/03/2017,TH,,,,
11156,4/03/2017,PH,,,,
11164,30/03/2017,MY,,,,
11172,26/05/2017,ID,,,,
11173,10/02/2017,VN,,,,
11180,29/03/2017,TW,,,,
11187,16/05/2017,ID,,,,
11194,18/02/2017,PH,,,,
11195,22/05/2017,VN,,,,
11201,2/03/2017,PH,,,,
11203,11/05/2017,VN,,,,
11210,31/01/2017,SG,,,,
11216,6/01/2017,SG,,,,
11221,9/02/2017,MY,,,,
11231,28/04/2017,ID,,,,
11236,13/02/2017,TH,,,,
11246,12/02/2017,ID,,,,
11254,17/01/2017,PH,,,,
11259,18/05/2017,MY,,,,
11264,30/01/2017,SG,,,,
11269,28/03/2017,ID,,,,
11278,16/05/2017,VN,,,,
11288,8/04/2017,VN,,,,
11293,27/04/2017,TW,,,,
11300,17/05/2017,PH,,,,
11302,20/05/2017,PH,,,,
11311,18/02/2017,MY,,,,
11314,4/02/2017,SG,,,,
11315,14/04/2017,PH,,,,
11316,28/05/2017,SG,,,,
11320,14/04/2017,VN,,,,
11329,28/01/2017,VN,,,,
11330,8/04/2017,MY,,,,
11339,1/06/2017,PH,,,,
11349,15/05/2017,TH,,,,
11352,23/04/2017,PH,,,,
11357,19/03/2017,TW,,,,
11367,17/03/2017,TH,,,,
11370,11/03/2017,TW,,,,
11374,3/02/2017,TH,,,,
11381,3/04/2017,TW,,,,
11391,10/02/2017,TW,,,,
11395,8/03/2017,MY,,,,
11405,27/04/2017,VN,,,,
11414,9/05/2017,MY,,,,
11421,24/03/2017,ID,,,,
11422,26/02/2017,MY,,,,
11427,28/02/2017,ID,,,,
11435,5/03/2017,MY,,,,
11441,25/02/2017,TH,,,,
11444,22/02/2017,TH,,,,
11448,18/04/2017,TW,,,,
11456,3/03/2017,VN,,,,
11466,7/03/2017,VN,,,,
11471,6/02/2017,ID,,,,
11477,8/04/2017,PH,,,,
11481,21/02/2017,SG,,,,
11490,16/04/2017,MY,,,,
11496,31/03/2017,PH,,,,
11501,29/04/2017,VN,,,,
11508,22/01/2017,TH,,,,
11518,2/03/2017,TW,,,,
11519,20/01/2017,MY,,,,
11526,9/01/2017,TW,,,,
11531,14/02/2017,MY,,,,
11534,1/02/2017,ID,,,,
11542,4/01/2017,PH,,,,
11543,4/03/2017,TW,,,,
11544,14/05/2017,ID,,,,
11547,17/03/2017,VN,,,,
11548,3/03/2017,VN,,,,
11550,4/05/2017,PH,,,,
11553,22/01/2017,ID,,,,
11555,29/01/2017,MY,,,,
11563,23/04/2017,ID,,,,
11566,19/01/2017,TH,,,,
11571,2/02/2017,VN,,,,
11581,6/02/2017,TW,,,,
11590,26/05/2017,VN,,,,
11598,7/02/2017,ID,,,,
11601,20/03/2017,ID,,,,
11610,19/01/2017,TH,,,,
11612,21/02/2017,TH,,,,
11618,7/01/2017,SG,,,,
11619,4/03/2017,VN,,,,
11629,1/06/2017,MY,,,,
11639,11/01/2017,MY,,,,
11640,20/01/2017,TW,,,,
11648,3/02/2017,TW,,,,
11657,7/01/2017,PH,,,,
11662,10/03/2017,MY,,,,
11667,10/03/2017,VN,,,,
11676,24/04/2017,TW,,,,
11681,9/04/2017,SG,,,,
11691,16/05/2017,TW,,,,
11697,15/04/2017,SG,,,,
11706,15/03/2017,TW,,,,
11708,18/02/2017,MY,,,,
11713,3/03/2017,MY,,,,
11716,2/04/2017,TW,,,,
11725,16/01/2017,VN,,,,
11727,22/05/2017,TW,,,,
11737,13/05/2017,SG,,,,
11738,15/05/2017,VN,,,,
11742,21/03/2017,TW,,,,
11746,19/02/2017,TH,,,,
11749,21/02/2017,MY,,,,
11750,23/04/2017,TH,,,,
11759,13/03/2017,VN,,,,
11760,24/04/2017,TH,,,,
11770,13/05/2017,TH,,,,
11772,28/04/2017,MY,,,,
11776,6/02/2017,MY,,,,
11780,9/01/2017,ID,,,,
11789,15/02/2017,ID,,,,
11795,22/02/2017,MY,,,,
11805,18/01/2017,SG,,,,
11806,10/04/2017,SG,,,,
11807,9/05/2017,MY,,,,
11816,16/03/2017,VN,,,,
11826,25/01/2017,SG,,,,
11834,10/03/2017,VN,,,,
11837,26/02/2017,ID,,,,
11838,1/06/2017,SG,,,,
11846,6/02/2017,VN,,,,
11853,24/02/2017,PH,,,,
11855,16/02/2017,MY,,,,
11863,10/05/2017,TH,,,,
11866,17/05/2017,SG,,,,
11867,17/01/2017,MY,,,,
11873,20/04/2017,SG,,,,
11882,17/02/2017,SG,,,,
11883,1/04/2017,VN,,,,
11885,19/05/2017,TW,,,,
11892,12/02/2017,MY,,,,
11893,25/05/2017,VN,,,,
11901,6/03/2017,TH,,,,
11902,5/03/2017,VN,,,,
11907,21/01/2017,SG,,,,
11910,18/03/2017,ID,,,,
11914,21/01/2017,SG,,,,
11915,18/03/2017,SG,,,,
11925,16/04/2017,ID,,,,
11927,3/01/2017,TW,,,,
11937,30/03/2017,MY,,,,
11945,25/05/2017,MY,,,,
11950,30/01/2017,MY,,,,
11951,23/04/2017,ID,,,,
11957,5/04/2017,SG,,,,
11961,15/05/2017,MY,,,,
11963,13/02/2017,PH,,,,
11969,16/02/2017,TH,,,,
11972,3/03/2017,PH,,,,
11982,4/04/2017,MY,,,,
11987,30/03/2017,VN,,,,
11997,19/01/2017,VN,,,,
12001,11/04/2017,TH,,,,
12005,27/05/2017,TW,,,,
12010,13/05/2017,MY,,,,
12011,31/03/2017,SG,,,,
12017,13/02/2017,PH,,,,
12020,20/03/2017,PH,,,,
12028,16/05/2017,MY,,,,
12030,3/04/2017,MY,,,,
12040,15/04/2017,MY,,,,
12045,26/05/2017,VN,,,,
12047,25/03/2017,SG,,,,
12050,10/02/2017,PH,,,,
12055,31/01/2017,MY,,,,
12059,1/01/2017,ID,,,,
12068,9/05/2017,SG,,,,
12077,27/02/2017,SG,,,,
12078,18/03/2017,VN,,,,
12083,8/04/2017,VN,,,,
12088,7/05/2017,MY,,,,
12096,3/02/2017,PH,,,,
12103,12/02/2017,TH,,,,
12106,15/05/2017,TW,,,,
12112,2/01/2017,VN,,,,
12117,6/02/2017,SG,,,,
12123,21/04/2017,TW,,,,
12133,10/05/2017,TW,,,,
12134,10/01/2017,TW,,,,
12136,12/04/2017,TH,,,,
12146,27/02/2017,VN,,,,
12149,19/05/2017,TH,,,,
12152,6/05/2017,VN,,,,
12157,14/01/2017,TW,,,,
12167,13/01/2017,MY,,,,
12171,29/04/2017,SG,,,,
12173,9/03/2017,SG,,,,
12175,17/05/2017,TH,,,,
12176,21/01/2017,PH,,,,
12181,18/02/2017,VN,,,,
12186,9/01/2017,VN,,,,
12195,7/04/2017,TW,,,,
12196,16/01/2017,MY,,,,
12197,21/04/2017,TW,,,,
12202,8/03/2017,ID,,,,
12206,2/02/2017,TW,,,,
12215,21/04/2017,TH,,,,
12218,26/04/2017,PH,,,,
12224,7/03/2017,TH,,,,
12226,1/06/2017,MY,,,,
12232,20/01/2017,TH,,,,
12233,25/05/2017,TW,,,,
12240,1/01/2017,SG,,,,
12248,6/01/2017,ID,,,,
12258,12/03/2017,TH,,,,
12262,2/01/2017,TH,,,,
12270,17/04/2017,SG,,,,
12277,15/01/2017,ID,,,,
12283,25/04/2017,MY,,,,
12292,16/03/2017,PH,,,,
12302,3/05/2017,ID,,,,
12307,14/04/2017,PH,,,,
12309,21/03/2017,PH,,,,
12311,1/02/2017,TW,,,,
12317,8/01/2017,ID,,,,
12323,5/05/2017,TW,,,,
12329,29/01/2017,TH,,,,
12330,2/03/2017,ID,,,,
12334,27/04/2017,MY,,,,
12340,20/01/2017,VN,,,,
12342,11/05/2017,TW,,,,
12351,16/03/2017,ID,,,,
12358,27/01/2017,TW,,,,
12365,12/01/2017,TH,,,,
12367,6/01/2017,SG,,,,
12377,1/05/2017,SG,,,,
12382,22/02/2017,SG,,,,
12387,8/02/2017,VN,,,,
12391,29/03/2017,MY,,,,
12401,12/04/2017,ID,,,,
12411,14/02/2017,VN,,,,
12413,6/02/2017,TH,,,,
12414,24/05/2017,ID,,,,
12417,28/04/2017,TH,,,,
12425,4/02/2017,TH,,,,
12429,21/02/2017,VN,,,,
12436,3/05/2017,MY,,,,
12442,25/05/2017,ID,,,,
12443,15/05/2017,PH,,,,
12452,17/01/2017,PH,,,,
12458,28/01/2017,PH,,,,
12467,7/02/2017,TH,,,,
12475,2/01/2017,PH,,,,
12477,21/05/2017,SG,,,,
12481,11/02/2017,VN,,,,
12489,28/01/2017,SG,,,,
12492,16/01/2017,ID,,,,
12498,16/05/2017,ID,,,,
12506,3/05/2017,SG,,,,
12509,2/01/2017,ID,,,,
12516,5/01/2017,TH,,,,
12517,16/02/2017,VN,,,,
12519,16/04/2017,ID,,,,
12528,2/04/2017,SG,,,,
12533,10/03/2017,TW,,,,
12541,9/01/2017,TH,,,,
12549,21/03/2017,VN,,,,
12550,11/05/2017,ID,,,,
12553,12/01/2017,VN,,,,
12555,25/02/2017,MY,,,,
12559,13/02/2017,PH,,,,
12563,20/02/2017,VN,,,,
12567,22/03/2017,MY,,,,
12576,14/03/2017,MY,,,,
12581,17/02/2017,TH,,,,
12586,5/01/2017,MY,,,,
12587,23/03/2017,ID,,,,
12596,20/03/2017,MY,,,,
12605,12/04/2017,TW,,,,
12607,7/03/2017,MY,,,,
12609,7/02/2017,TW,,,,
12610,12/05/2017,TH,,,,
12616,5/05/2017,TW,,,,
12622,23/04/2017,TH,,,,
12625,5/02/2017,PH,,,,
12629,3/02/2017,TW,,,,
12635,30/01/2017,PH,,,,
12638,11/04/2017,MY,,,,
12643,9/05/2017,SG,,,,
12645,30/04/2017,PH,,,,
12651,25/04/2017,PH,,,,
12658,28/03/2017,TW,,,,
12660,27/03/2017,TH,,,,
12661,24/02/2017,SG,,,,
12668,28/02/2017,TW,,,,
12671,18/05/2017,ID,,,,
12675,6/01/2017,PH,,,,
12683,16/01/2017,MY,,,,
12688,22/05/2017,SG,,,,
12695,24/05/2017,TH,,,,
12704,10/03/2017,PH,,,,
12707,22/01/2017,MY,,,,
12708,10/01/2017,MY,,,,
12716,8/02/2017,PH,,,,
12721,19/04/2017,PH,,,,
12727,10/02/2017,PH,,,,
12728,13/05/2017,MY,,,,
12735,27/03/2017,TW,,,,
12736,18/03/2017,MY,,,,
12740,20/03/2017,SG,,,,
12747,14/01/2017,ID,,,,
12755,19/04/2017,PH,,,,
12759,26/02/2017,VN,,,,
12762,6/01/2017,MY,,,,
12765,24/05/2017,SG,,,,
12766,9/03/2017,PH,,,,
12774,15/03/2017,MY,,,,
12784,30/04/2017,SG,,,,
12790,15/02/2017,VN,,,,
12795,25/05/2017,PH,,,,
12801,18/01/2017,TH,,,,
12806,21/03/2017,VN,,,,
12816,3/03/2017,TW,,,,
12826,1/01/2017,TW,,,,
12834,28/01/2017,SG,,,,
12836,26/03/2017,ID,,,,
12841,20/01/2017,ID,,,,
12850,31/03/2017,VN,,,,
12851,22/01/2017,SG,,,,
12858,21/05/2017,ID,,,,
12862,25/03/2017,PH,,,,
12871,7/02/2017,TW,,,,
12881,18/03/2017,MY,,,,
12883,19/03/2017,SG,,,,
12893,26/02/2017,ID,,,,
12901,13/02/2017,PH,,,,
12909,26/03/2017,TW,,,,
12915,21/01/2017,TW,,,,
12920,23/05/2017,TH,,,,
12929,9/01/2017,TW,,,,
12931,20/04/2017,PH,,,,
12937,1/02/2017,TW,,,,
12938,13/04/2017,VN,,,,
12947,10/05/2017,SG,,,,
12957,5/03/2017,VN,,,,
12966,2/02/2017,MY,,,,
12974,13/05/2017,VN,,,,
12979,2/03/2017,MY,,,,
12984,11/01/2017,ID,,,,
12991,16/01/2017,TW,,,,
12993,13/05/2017,PH,,,,
13000,1/03/2017,PH,,,,
13003,10/04/2017,ID,,,,
13010,28/04/2017,VN,,,,
13011,9/01/2017,ID,,,,
13012,1/01/2017,TH,,,,
13021,30/04/2017,PH,,,,
13028,8/04/2017,TW,,,,
13038,31/01/2017,ID,,,,
13048,24/02/2017,TH,,,,
13050,16/01/2017,ID,,,,
13055,29/04/2017,PH,,,,
13065,1/04/2017,SG,,,,
13074,7/01/2017,TW,,,,
13079,24/01/2017,TH,,,,
13084,12/02/2017,VN,,,,
13094,27/04/2017,MY,,,,
13096,17/04/2017,VN,,,,
13100,16/02/2017,TW,,,,
13108,6/05/2017,TW,,,,
13117,7/03/2017,ID,,,,
13121,1/06/2017,SG,,,,
13131,28/02/2017,PH,,,,
13141,17/05/2017,VN,,,,
13151,4/02/2017,ID,,,,
13157,18/02/2017,PH,,,,
13159,2/02/2017,TH,,,,
13163,30/04/2017,MY,,,,
13168,28/02/2017,VN,,,,
13173,16/05/2017,TH,,,,
13182,20/04/2017,PH,,,,
13186,19/04/2017,TH,,,,
13192,20/03/2017,PH,,,,
13200,4/03/2017,MY,,,,
13207,3/02/2017,PH,,,,
13213,3/04/2017,VN,,,,
13219,19/05/2017,MY,,,,
13227,22/03/2017,VN,,,,
13231,25/05/2017,VN,,,,
13232,10/02/2017,TW,,,,
13234,13/04/2017,VN,,,,
13237,4/05/2017,SG,,,,
13241,4/02/2017,TW,,,,
13249,12/02/2017,VN,,,,
13256,22/02/2017,TW,,,,
13266,31/01/2017,TW,,,,
13276,12/04/2017,SG,,,,
13278,18/04/2017,PH,,,,
13281,31/01/2017,MY,,,,
13288,18/02/2017,TH,,,,
13295,9/03/2017,TW,,,,
13302,14/02/2017,ID,,,,
13304,18/01/2017,VN,,,,
13308,20/05/2017,VN,,,,
13311,15/04/2017,MY,,,,
13314,14/02/2017,ID,,,,
13323,5/05/2017,TW,,,,
13326,17/03/2017,PH,,,,
13335,30/04/2017,TW,,,,
13338,14/03/2017,TW,,,,
13347,15/02/2017,TW,,,,
13353,2/03/2017,MY,,,,
13355,17/01/2017,TH,,,,
13362,27/01/2017,PH,,,,
13368,6/05/2017,PH,,,,
13375,3/01/2017,PH,,,,
13376,30/05/2017,PH,,,,
13381,11/02/2017,TH,,,,
13388,18/02/2017,VN,,,,
13393,11/02/2017,VN,,,,
13398,28/05/2017,MY,,,,
13399,20/02/2017,MY,,,,
13409,17/02/2017,TH,,,,
13410,3/03/2017,TW,,,,
13416,4/02/2017,TH,,,,
13419,26/01/2017,TW,,,,
13429,21/04/2017,VN,,,,
13430,11/03/2017,TH,,,,
13435,23/03/2017,SG,,,,
13439,30/03/2017,MY,,,,
13442,6/01/2017,MY,,,,
13443,12/01/2017,PH,,,,
13445,28/04/2017,PH,,,,
13446,11/04/2017,VN,,,,
13451,27/04/2017,VN,,,,
13452,29/05/2017,TW,,,,
13460,12/01/2017,SG,,,,
13469,16/05/2017,VN,,,,
13479,12/02/2017,SG,,,,
13480,23/04/2017,TW,,,,
13487,13/03/2017,TW,,,,
13490,13/05/2017,VN,,,,
13494,3/02/2017,PH,,,,
13504,6/03/2017,VN,,,,
13510,22/05/2017,ID,,,,
13511,30/04/2017,TW,,,,
13512,23/01/2017,TW,,,,
13517,30/01/2017,MY,,,,
13524,31/01/2017,ID,,,,
13530,2/02/2017,TH,,,,
13540,3/04/2017,ID,,,,
13548,17/04/2017,ID,,,,
13550,7/03/2017,SG,,,,
13555,25/05/2017,SG,,,,
13560,16/01/2017,TH,,,,
13566,26/05/2017,SG,,,,
13567,19/04/2017,ID,,,,
13573,29/03/2017,VN,,,,
13576,27/05/2017,VN,,,,
13577,14/01/2017,ID,,,,
13584,8/03/2017,ID,,,,
13586,12/04/2017,ID,,,,
13590,29/05/2017,PH,,,,
13595,5/02/2017,PH,,,,
13598,1/01/2017,ID,,,,
13599,22/02/2017,TH,,,,
13601,28/05/2017,MY,,,,
13603,28/01/2017,TH,,,,
13605,18/03/2017,TW,,,,
13609,27/02/2017,MY,,,,
13615,31/01/2017,SG,,,,
13623,18/03/2017,TH,,,,
13631,1/03/2017,PH,,,,
13632,23/02/2017,MY,,,,
13638,7/04/2017,VN,,,,
13643,31/01/2017,SG,,,,
13644,16/05/2017,SG,,,,
13647,22/04/2017,TW,,,,
13652,17/05/2017,TW,,,,
13658,12/03/2017,ID,,,,
13664,16/05/2017,TW,,,,
13666,15/05/2017,TW,,,,
13671,14/04/2017,VN,,,,
13676,29/03/2017,SG,,,,
13677,16/02/2017,TW,,,,
13684,25/03/2017,MY,,,,
13692,3/04/2017,TH,,,,
13693,6/01/2017,PH,,,,
13701,14/03/2017,TH,,,,
13703,26/04/2017,PH,,,,
13704,26/03/2017,PH,,,,
13706,5/02/2017,SG,,,,
13713,11/01/2017,PH,,,,
13717,20/04/2017,ID,,,,
13725,21/03/2017,TH,,,,
13728,16/05/2017,MY,,,,
13738,19/04/2017,VN,,,,
13745,3/01/2017,TH,,,,
13747,18/05/2017,MY,,,,
13755,24/01/2017,VN,,,,
13762,28/04/2017,VN,,,,
13766,30/04/2017,TH,,,,
13776,17/01/2017,MY,,,,
13784,31/05/2017,SG,,,,
13788,27/03/2017,VN,,,,
13795,27/04/2017,PH,,,,
13804,12/03/2017,MY,,,,
13811,12/03/2017,PH,,,,
13818,9/05/2017,TW,,,,
13822,27/02/2017,ID,,,,
13823,15/02/2017,PH,,,,
13828,1/02/2017,VN,,,,
13837,16/01/2017,ID,,,,
13843,1/01/2017,VN,,,,
13850,18/01/2017,MY,,,,
13857,13/02/2017,TH,,,,
13862,18/05/2017,SG,,,,
13866,6/05/2017,VN,,,,
13872,11/04/2017,SG,,,,
13882,18/04/2017,ID,,,,
13890,2/03/2017,TW,,,,
13896,29/04/2017,PH,,,,
13899,20/05/2017,VN,,,,
13902,13/02/2017,TW,,,,
13912,3/04/2017,ID,,,,
13922,3/05/2017,TW,,,,
13932,1/02/2017,ID,,,,
13935,25/01/2017,PH,,,,
13941,23/05/2017,TW,,,,
13942,31/01/2017,TW,,,,
13945,10/03/2017,PH,,,,
13952,7/04/2017,ID,,,,
13956,7/05/2017,PH,,,,
13964,14/01/2017,ID,,,,
13972,18/05/2017,VN,,,,
13976,25/01/2017,TW,,,,
13981,14/03/2017,ID,,,,
13984,21/05/2017,TW,,,,
13989,2/01/2017,TH,,,,
13993,3/02/2017,VN,,,,
14001,5/01/2017,MY,,,,
14004,9/04/2017,SG,,,,
14014,7/02/2017,VN,,,,
14018,16/03/2017,MY,,,,
14024,14/05/2017,SG,,,,
14032,10/02/2017,PH,,,,
14042,16/04/2017,TW,,,,
14049,6/01/2017,TH,,,,
14055,11/02/2017,TW,,,,
14059,4/04/2017,MY,,,,
14068,9/05/2017,VN,,,,
14075,16/03/2017,PH,,,,
14083,10/05/2017,PH,,,,
14087,6/01/2017,SG,,,,
14094,2/02/2017,VN,,,,
14099,27/02/2017,VN,,,,
14101,11/03/2017,PH,,,,
14105,4/04/2017,TH,,,,
14110,1/02/2017,ID,,,,
14111,19/04/2017,TW,,,,
14114,23/05/2017,PH,,,,
14124,3/04/2017,TH,,,,
14125,26/01/2017,TW,,,,
14134,30/01/2017,MY,,,,
14140,28/02/2017,SG,,,,
14142,15/05/2017,SG,,,,
14146,6/01/2017,MY,,,,
14153,15/03/2017,MY,,,,
14163,7/03/2017,TW,,,,
14168,18/01/2017,VN,,,,
14177,8/02/2017,SG,,,,
14183,1/02/2017,SG,,,,
14188,8/03/2017,MY,,,,
14195,12/03/2017,ID,,,,
14203,3/02/2017,TW,,,,
14213,14/04/2017,PH,,,,
14219,6/04/2017,TW,,,,
14220,25/03/2017,VN,,,,
14225,20/05/2017,SG,,,,
14228,17/02/2017,SG,,,,
14230,2/04/2017,VN,,,,
14233,18/03/2017,PH,,,,
14239,17/03/2017,VN,,,,
14241,8/01/2017,TH,,,,
14245,2/04/2017,ID,,,,
14252,26/01/2017,TW,,,,
14256,30/05/2017,MY,,,,
14261,28/04/2017,TH,,,,
14268,5/01/2017,MY,,,,
14276,2/01/2017,ID,,,,
14280,14/03/2017,VN,,,,
14287,23/05/2017,PH,,,,
14294,17/03/2017,TW,,,,
14297,6/02/2017,SG,,,,
14299,13/04/2017,SG,,,,
14305,17/02/2017,TH,,,,
14314,27/04/2017,VN,,,,
14316,25/01/2017,MY,,,,
14320,6/01/2017,PH,,,,
14325,15/04/2017,TH,,,,
14330,1/06/2017,TW,,,,
14340,8/05/2017,VN,,,,
14348,7/05/2017,TW,,,,
14358,24/02/2017,TH,,,,
14359,19/02/2017,TH,,,,
14366,19/03/2017,MY,,,,
14369,9/05/2017,PH,,,,
14377,2/05/2017,MY,,,,
14384,11/03/2017,TH,,,,
14389,11/03/2017,TH,,,,
14397,17/05/2017,ID,,,,
14401,10/05/2017,TH,,,,
14405,6/04/2017,TH,,,,
14407,4/01/2017,MY,,,,
14417,26/05/2017,ID,,,,
14420,13/04/2017,TH,,,,
14422,14/05/2017,SG,,,,
14425,14/04/2017,VN,,,,
14435,11/04/2017,SG,,,,
14438,11/03/2017,TH,,,,
14441,17/05/2017,SG,,,,
14444,15/02/2017,ID,,,,
14452,24/01/2017,SG,,,,
14462,20/03/2017,TW,,,,
14468,24/05/2017,TH,,,,
14478,19/05/2017,SG,,,,
14486,6/05/2017,TH,,,,
14489,10/03/2017,TH,,,,
14495,29/03/2017,TW,,,,
14499,28/05/2017,SG,,,,
14507,31/03/2017,VN,,,,
14511,24/05/2017,PH,,,,
14517,27/02/2017,TH,,,,
14523,28/01/2017,PH,,,,
14524,15/02/2017,PH,,,,
14529,1/04/2017,TH,,,,
14534,29/04/2017,VN,,,,
14542,5/05/2017,TW,,,,
14546,23/02/2017,TH,,,,
14548,31/03/2017,PH,,,,
14555,8/02/2017,TH,,,,
14562,18/05/2017,VN,,,,
14564,20/02/2017,MY,,,,
14570,21/03/2017,PH,,,,
14571,6/05/2017,PH,,,,
14578,4/01/2017,TW,,,,
14588,24/04/2017,MY,,,,
14593,22/04/2017,MY,,,,
14596,25/04/2017,PH,,,,
14602,1/05/2017,TW,,,,
14611,4/05/2017,VN,,,,
14620,9/05/2017,ID,,,,
14623,7/04/2017,MY,,,,
14632,4/03/2017,TH,,,,
14641,29/04/2017,ID,,,,
14647,6/02/2017,MY,,,,
14648,3/04/2017,TW,,,,
14657,3/05/2017,TW,,,,
14664,24/01/2017,MY,,,,
14672,12/02/2017,VN,,,,
14675,13/03/2017,ID,,,,
14685,3/03/2017,VN,,,,
14691,15/04/2017,ID,,,,
14693,5/02/2017,PH,,,,
14696,27/04/2017,TW,,,,
14699,23/02/2017,ID,,,,
14701,16/04/2017,PH,,,,
14705,6/05/2017,TW,,,,
14710,7/05/2017,TH,,,,
14719,23/02/2017,PH,,,,
14728,28/02/2017,MY,,,,
14736,8/02/2017,VN,,,,
14738,17/02/2017,MY,,,,
14748,3/03/2017,MY,,,,
14756,26/05/2017,TH,,,,
14757,29/03/2017,SG,,,,
